SIZE: 25000, THREADS: 1
SIZE: 25000, THREADS: 1
5.373504, 5.224287, 22.066084
3.106393, 2.869018, 6.816450
1.794415, 1.756004, 1.789948
1.915946, 1.622435, 1.816317
2.011999, 1.925286, 2.464597
1.651512, 1.680613, 2.154886
1.798855, 2.011861, 1.926048
2.000881, 2.271831, 2.078278
1.018547, 0.985771, 1.005176
0.575626, 0.662870, 0.717284
0.402447, 0.401220, 0.427900
0.397699, 0.398024, 0.415277
0.386301, 0.542574, 0.578348
0.375294, 0.381130, 0.404206
SIZE: 30000, THREADS: 1
13.829289, 12.531891, 15.041809
4.314071, 4.507677, 4.025048
3.632529, 3.373188, 3.364203
3.291176, 3.051653, 3.796946
2.930718, 2.861125, 3.078648
2.766283, 3.670586, 2.919779
2.451905, 2.482155, 2.439271
45.749290, 4.441607, 3.490261
2.967932, 2.869477, 2.752592
0.627590, 0.620174, 0.579572
1.070325, 0.810812, 0.797317
0.584227, 0.601410, 0.585009
0.537686, 0.544724, 0.554957
0.532755, 0.568431, 0.547382
0.523975, 0.529517, 0.533022
SIZE: 40000, THREADS: 1
11.181085, 13.692048, 11.838049
12.169081, 12.076373, 9.121091
8.693042, 8.842483, 8.223554
7.900535, 7.976378, 8.714688
6.519776, 7.021121, 7.166958
6.702275, 7.418822, 6.168931
5.438026, 5.341717, 5.149322
SIZE: 40000, THREADS: 1
5.777031, 4.928604, 4.853782
2.431268, 2.480235, 2.515246
1.512966, 1.436854, 1.531912
1.130788, 1.031659, 1.005453
0.957950, 1.023878, 1.020736
1.047524, 1.076680, 1.052532
0.991257, 0.947294, 0.962197
SIZE: 50000, THREADS: 1
31.511042, 21.266316, 23.465198
16.906573, 17.239295, 15.800742
14.835080, 14.721064, 14.727672
16.148323, 16.887464, 17.952189
22.211323, 17.416834, 25.355901
20.686275, 24.255651, 28.601136
15.333617, 14.806935, 14.619215
SIZE: 50000, THREADS: 1
9.116346, 7.591689, 7.614743
3.840574, 3.851425, 3.904355
2.365102, 2.327547, 2.387658
1.615599, 1.705357, 1.717941
1.574584, 1.451795, 1.494082
1.503216, 1.492541, 1.476087
1.554139, 1.453333, 1.479479
